Username,location,friend_count,review_count,photo_count,rating,date,review
Junior B.,"North Valley/Los Ranchos, Albuquerque, NM",87,148,375,3.0,4/19/2016,Beautiful restaurant great service but the food just was not there to match. We had a mac & cheese burger and it was tasty but just not there. I would give the cheese cake five stars if I could. I would give five stars to all the staff if I could. But the food was not all that hype. But it's a beautiful place and a wonderful experience
Steve M.,"Albuquerque, NM",3,43,1,5.0,6/17/2017,The Cheesecake Factory is a hopping place. Sometimes too busy.  But I've had three great meals and great service there in a row.  Thumbs up.
Riley J.,"Albuquerque, NM",171,197,10,2.0,9/12/2016,"I can not and will not ever be able to get on the Cheesecake Factory train.  Their food is pricy, but that's not the problem, the problem is it is so incredibly salty I find it barely palatable. Every single time without fail it makes my mouth feel like I have spent an hour licking a salt block. I just can not justify spending that much money for crazy amounts of salt.  The cheesecake is eh. It's good, it's different, it's crazy tall with crazy flavors, but I think you can do better. No, I know you can do better."
Lynne S.,"Los Alamos, NM",21,6,2,2.0,10/13/2017,I have been there twice a year apart the wait is ridiculous more than an hour.  Both times I have been my meal was not delivered everyone else in the party received their food I didn't.  I don't like the way they deliver the meal it doesn't come out for a table at the same time it comes out so maybe half the table receives food and the other half waits.  Both times I have been there they delivered the wrong food to someone in our party.  It is awkward to sit for 15 minutes while the rest of the group eats waiting for food.  If it only happens once I could excuse it but for it to happen twice is inexcusable. Such a poorly managed place.
Amber Rose B.,"Albuquerque, NM",0,1,,1.0,7/15/2017,11.25 for one cocktail drink !!! No price for it on the menu either just let you order it totally oblivious to the price gouging. Very disappointed never going back
Jenni G.,"Hacienda Heights, CA",6,31,13,5.0,6/9/2017,Yummy yummy. Amazing customer service. I had to speak to the manager just to tell him how satisfied I was. Oh and don't forget to try the salted caramel cheesecake.
Aurelio C.,"Albuquerque, NM",2,11,,3.0,1/7/2017,"Skip the meals. Go for the desserts. I went with my family on New Years Day and nobody was overwhelmed by the entrees. Very bland and slow to arrive. The quality was no better than any other chain diner. The desserts, on the other hand, were outstanding. Next time, we will go for coffee and the rich dessert items."
Raina M.,"Albuquerque, NM",17,23,23,5.0,3/6/2016,"Who knew this place served more than just cheesecake! ?!!  What a fun and hip place to eat while enjoying the company of  family and friends.  Everyone was genuinely happy to help and work.   Loved the music and the decor.  It was non stop from the time we arrived to the time we left.  Not a whole lot of space to sit and wait for extended periods but the buzzers have a pretty decent range so you can check out  near by shops as you wait.  We were fortunate enough to snag a bar table which was a major SCORE!   Our waitress Katie was very sweet and made our experience well worth the wait.  I had the pleasure of eating the avocado eggrolls, Cajun Jumbolya along with a Cosmo what a treat! Kaluha cheese cake to go please it's a wrap!"
Martha L.,"Albuquerque, NM",85,42,54,3.0,3/28/2016,"The Cheesecake Factory- it's the same everywhere you go. The food is good, the cheesecake is yummy!! We had the tiramisu cheesecake, very very good! The service- sooo slowww. Our waitress kept forgetting us, our party of 6 couldn't get a refill. We had to ask other servers for silverware, straws, refills, missing food,ect. Very disappointed with the service.  If I come back, it will be for a slice of cheesecake to go! :)"
Kenjiro A.,"Albuquerque, NM",4,23,2,2.0,8/29/2016,"I can understand the long wait to get a table.  I can understand the long wait for the food.  I can forgive the server ending every sentence with ""my friend."" HOWEVER, i cannot forgive the luke warm food served.  I cannot forgive the rice served with the miso salmon not cooked all the way.  How do you screw up cooking steamed rice? Please get your kitchen together!"
Karla M.,"Cedar Crest, NM",1,13,38,4.0,10/11/2016,"If you come on weekend is a long wait of course but that's not a big deal, the service was a slow. The food was very delicious and their drinks too. Better be! Is pricy! The have a huge list of cheesecakes and they are good big slices you they can be shared. I had the bacon burger the slice of bacon are big and yummy the meat in the burger is prefect! Overall enjoyed it will return."
