entity,worst,da,best,da2
BJ,20,ORG,182.0,PERSON
åÊ,6,ORG,41.0,PERSON
Rene,5,GPE,0.0,0
HORRIBLE,3,ORG,0.0,0
WTF,2,ORG,0.0,0
UNCOOKED,2,ORG,0.0,0
Lindsey,2,PERSON,0.0,0
VERY,2,PERSON,0.0,0
Chicago,2,GPE,0.0,0
Megan,2,PERSON,0.0,0
Eric,2,PERSON,0.0,0
BJS,2,ORG,0.0,0
Pizzokie,2,PERSON,0.0,0
The,2,GPE,9.0,ORG
Steve,1,PERSON,0.0,0
YELPER,1,ORG,0.0,0
Suuuuure,1,PERSON,0.0,0
Stephen,1,PERSON,0.0,0
Terrible,1,ORG,0.0,0
Wyders,1,ORG,0.0,0
Webster,1,PERSON,0.0,0
Third,1,PERSON,0.0,0
WHERE,1,PERSON,0.0,0
Tip,1,PERSON,0.0,0
WARM,1,ORG,0.0,0
UNTIL,1,ORG,0.0,0
Truly,1,PERSON,0.0,0
Yelp,1,ORG,7.0,ORG
åÊas,1,ORG,0.0,0
åÊAll,1,PERSON,0.0,0
middle-,1,ORG,0.0,0
Sparks,1,PERSON,0.0,0
Spicy,1,PERSON,0.0,0
Sigh,1,PERSON,0.0,0
BTW,1,ORG,0.0,0
American,1,ORG,0.0,0
Armando,1,PERSON,0.0,0
BJs,1,GPE,8.0,ORG
Berry,1,PERSON,0.0,0
Seal,1,GPE,0.0,0
Brandon,1,PERSON,8.0,PERSON
Brewhouse,1,PERSON,8.0,PERSON
C&C,1,ORG,0.0,0
COLD,1,ORG,0.0,0
Caesars,1,ORG,0.0,0
California,1,GPE,11.0,ORG
Chicken,1,PERSON,0.0,0
Cobb,1,PERSON,0.0,0
Karen,1,PERSON,0.0,0
Kathrine,1,PERSON,0.0,0
MOST,1,ORG,0.0,0
Manager,1,PERSON,0.0,0
Masa,1,PERSON,0.0,0
NOOOO,1,ORG,0.0,0
Next,1,ORG,0.0,0
Outback,1,ORG,0.0,0
PIZZOKIE,1,ORG,0.0,0
Parmesan,1,PERSON,0.0,0
Pizookie,1,PERSON,10.0,PERSON
REALLY,1,ORG,0.0,0
RUDE,1,ORG,0.0,0
SF,1,GPE,0.0,0
Katherine,1,PERSON,0.0,0
Julie,1,PERSON,0.0,0
DissatisfiedHorrible,1,ORG,0.0,0
Emory,1,ORG,0.0,0
FINALLY,1,PERSON,0.0,0
FL,1,GPE,0.0,0
Glendale,1,ORG,10.0,GPE
Gordon,1,PERSON,0.0,0
Grammer,1,ORG,0.0,0
Jack,1,PERSON,0.0,0
Johnny,1,PERSON,0.0,0
